zone,is_goal,is_saved,is_right_foot,end_y,end_z,player,team,match_id,competition_id,technique
0,1,0,1,36.4,0.3,Maren Nævdal Mjelde,Norway Women's,68357,72,Normal
5,1,0,0,43.2,1.7,Stephanie-Elise Catley,Australia Women's,68357,72,Normal
5,1,0,1,43.2,1.4,Ingrid Syrstad Engen,Norway Women's,68357,72,Normal
3,1,0,1,36.5,1.1,Elin Ingrid Johanna Rubensson,Sweden Women's,22973,72,Normal
2,1,0,1,43.2,0.2,Megan Anna Rapinoe,United States Women's,69321,72,Normal
8,0,0,0,41.7,2.8,Francisca Alejandra Lara Lara,Chile Women's,68343,72,Normal
8,1,0,1,43.7,2.0,Wendie Renard,France Women's,22980,72,Normal
0,0,1,1,37.2,0.3,Stephanie Houghton,England Women's,69258,72,Normal
0,1,0,1,36.8,0.2,Eugénie Le Sommer,France Women's,22948,72,Normal
2,1,0,1,43.1,0.2,Yuika Sugasawa,Japan Women's,22961,72,Normal
0,1,0,0,37.2,0.5,Marta Vieira da Silva Veiga,Brazil Women's,22955,72,Normal
2,1,0,1,42.2,0.3,Lieke Martens,Netherlands Women's,69188,72,Normal
5,0,1,1,42.0,1.2,Nikita Parris,England Women's,22962,72,Normal
4,1,0,1,39.8,0.9,María Florencia Bonsegundo,Argentina Women's,68338,72,Normal
6,1,0,1,37.0,2.4,Nikita Parris,England Women's,22936,72,Normal
0,0,1,1,37.2,0.3,Samantha May Kerr,Australia Women's,22933,72,Normal
0,1,0,1,36.5,0.2,Caroline Graham Hansen,Norway Women's,22981,72,Normal
0,1,0,1,36.6,0.7,Isabell Herlovsen,Norway Women's,22981,72,Normal
0,0,0,1,35.7,0.2,Carli Anne Hollins,United States Women's,22974,72,Normal
3,1,0,0,37.6,1.0,Jennifer Hermoso Fuentes,Spain Women's,22930,72,Normal
5,1,0,0,43.0,1.2,Jennifer Hermoso Fuentes,Spain Women's,22930,72,Normal
0,0,1,0,37.1,0.1,Andressa Alves da Silva,Brazil Women's,22934,72,Normal
3,0,1,1,37.2,1.3,Nikita Parris,England Women's,69199,72,Normal
0,1,0,1,36.3,0.2,Megan Anna Rapinoe,United States Women's,69161,72,Normal
0,1,0,1,36.3,0.2,Megan Anna Rapinoe,United States Women's,69161,72,Normal
0,1,0,0,37.0,0.2,Lionel Andrés Messi Cuccittini,Barcelona,3773593,11,Normal
0,1,0,1,37.4,0.2,Sergio Ramos García,Real Madrid,3773585,11,Normal
0,1,0,1,36.6,0.2,Jaime Mata Arnaiz,Getafe,3773587,11,Normal
3,0,1,0,37.6,1.0,Lionel Andrés Messi Cuccittini,Barcelona,3773377,11,Normal
0,0,1,0,37.4,0.0,Lionel Andrés Messi Cuccittini,Barcelona,3773695,11,Normal
2,1,0,1,42.3,0.5,Rafael Mir Vicente,Huesca,3773369,11,Normal
0,1,0,1,36.7,0.2,Enes Ünal,Getafe,3773661,11,Normal
2,1,0,0,43.3,0.8,Antoine Griezmann,Barcelona,3773661,11,Normal
0,1,0,0,37.0,0.7,Lionel Andrés Messi Cuccittini,Barcelona,3773415,11,Normal
0,1,0,1,37.0,0.2,Alejandro Fernández Iglesias,Cádiz,3773415,11,Normal
3,0,1,0,37.9,0.9,Antoine Griezmann,Barcelona,3773477,11,Normal
8,1,0,0,43.3,2.3,Lionel Andrés Messi Cuccittini,Barcelona,3773477,11,Normal
2,1,0,0,43.6,0.8,Lionel Andrés Messi Cuccittini,Barcelona,303532,11,Normal
8,1,0,0,42.4,2.0,Lionel Andrés Messi Cuccittini,Barcelona,303504,11,Normal
1,1,0,0,38.8,0.7,Mikel Oyarzabal Ugarte,Real Sociedad,303664,11,Normal
5,0,1,1,42.8,1.3,Maximiliano Gómez González,Valencia,303400,11,Normal
5,1,0,0,43.3,1.1,Lionel Andrés Messi Cuccittini,Barcelona,303479,11,Normal
2,1,0,0,43.3,0.2,Saúl Ñíguez Esclapez,Atlético Madrid,303696,11,Normal
3,1,0,0,37.6,1.1,Lionel Andrés Messi Cuccittini,Barcelona,303696,11,Normal
2,1,0,0,43.3,0.2,Saúl Ñíguez Esclapez,Atlético Madrid,303696,11,Normal
0,1,0,0,36.5,0.0,Lionel Andrés Messi Cuccittini,Barcelona,303487,11,Normal
0,1,0,0,37.1,0.2,Sergio Canales Madrazo,Real Betis,303707,11,Normal
0,1,0,1,37.1,0.2,Álvaro Vadillo Cifuentes,Granada,303666,11,Normal
3,1,0,1,37.9,1.2,Luis Alberto Suárez Díaz,Barcelona,303517,11,Normal
0,0,1,0,37.9,0.2,Lionel Andrés Messi Cuccittini,Barcelona,69222,11,Normal
2,0,1,1,43.4,0.5,Samuel Eto''o Fils,Barcelona,69225,11,Normal
2,1,0,0,42.5,0.0,Lionel Andrés Messi Cuccittini,Barcelona,69211,11,Normal
0,1,0,1,36.4,0.2,Samuel Eto''o Fils,Barcelona,69212,11,Normal
3,1,0,0,37.3,1.5,Lionel Andrés Messi Cuccittini,Barcelona,69216,11,Normal
0,1,0,1,36.7,0.0,Nikola Žigić,Racing Santander,69209,11,Normal
6,1,0,1,36.0,2.0,Matías Ariel Fernández Fernández,Villarreal,69217,11,Normal
0,0,1,1,37.4,0.6,Samuel Eto''o Fils,Barcelona,69195,11,Normal
3,1,0,1,36.7,0.9,Diego Forlán Corazo,Atlético Madrid,69185,11,Normal
0,1,0,0,37.2,0.2,Lionel Andrés Messi Cuccittini,Barcelona,69215,11,Normal
3,1,0,1,36.5,1.7,Samuel Eto''o Fils,Barcelona,69183,11,Normal
0,1,0,1,38.1,0.2,Thierry Henry,Arsenal,3749493,2,Normal
2,1,0,1,41.8,0.7,Thierry Henry,Arsenal,3749296,2,Normal
0,1,0,1,37.4,0.3,Thierry Henry,Arsenal,3749257,2,Normal
5,1,0,1,43.1,1.5,Thierry Henry,Arsenal,3749133,2,Normal
1,1,0,1,39.6,0.5,Thierry Henry,Arsenal,3749528,2,Lob
6,0,0,1,37.5,2.9,Ruud van Nistelrooy,Manchester United,3749552,2,Normal
5,1,0,1,43.1,1.5,Robbie Keane,Tottenham Hotspur,3749068,2,Normal
4,1,0,1,40.9,1.7,Thierry Henry,Arsenal,3749453,2,Lob
2,1,0,1,42.6,0.1,Thierry Henry,Arsenal,3749153,2,Normal
6,1,0,1,37.3,1.8,Massimo Maccarone,Middlesbrough,3749153,2,Normal
4,1,0,1,39.2,1.7,Paolo Di Canio,Charlton Athletic,3749526,2,Lob
2,0,1,0,42.3,0.7,Ezgjan Alioski,North Macedonia,3788758,55,Normal
0,0,1,0,37.6,0.7,Ruslan Malinovskiy,Ukraine,3788758,55,Normal
3,1,0,1,38.4,0.9,Cristiano Ronaldo dos Santos Aveiro,Portugal,3788773,55,Normal
3,1,0,1,37.5,1.6,Karim Benzema,France,3788773,55,Normal
0,1,0,1,36.8,0.2,Cristiano Ronaldo dos Santos Aveiro,Portugal,3788773,55,Normal
5,1,0,1,42.6,1.2,Emil Peter Forsberg,Sweden,3788761,55,Normal
0,1,0,0,36.4,0.3,Patrik Schick,Czech Republic,3788760,55,Normal
0,0,0,1,36.1,0.2,Sergio Busquets i Burgos,Spain,3795108,55,Normal
3,1,0,1,36.6,1.7,Mario Gavranović,Switzerland,3795108,55,Normal
6,1,0,1,36.6,2.4,Daniel Olmo Carvajal,Spain,3795108,55,Normal
0,0,1,1,37.3,0.6,Fabian Lukas Schär,Switzerland,3795108,55,Normal
2,0,1,1,42.4,0.8,Rodrigo Hernández Cascante,Spain,3795108,55,Normal
0,0,1,1,37.4,0.4,Manuel Obafemi Akanji,Switzerland,3795108,55,Normal
8,1,0,0,43.5,2.3,Gerard Moreno Balaguero,Spain,3795108,55,Normal
7,0,0,1,38.7,3.9,Ruben Vargas,Switzerland,3795108,55,Normal
2,1,0,0,43.3,0.4,Mikel Oyarzabal Ugarte,Spain,3795108,55,Normal
2,1,0,0,41.8,0.5,Romelu Lukaku Menama,Belgium,3795107,55,Normal
0,0,1,1,37.4,0.0,Manuel Locatelli,Italy,3795220,55,Normal
6,0,0,1,36.7,4.5,Daniel Olmo Carvajal,Spain,3795220,55,Normal
0,1,0,1,36.9,0.6,Andrea Belotti,Italy,3795220,55,Normal
5,1,0,0,42.8,1.7,Gerard Moreno Balaguero,Spain,3795220,55,Normal
2,1,0,1,42.9,0.8,Leonardo Bonucci,Italy,3795220,55,Normal
0,1,0,1,36.8,0.2,Thiago Alcântara do Nascimento,Spain,3795220,55,Normal
8,1,0,0,43.2,2.2,Federico Bernardeschi,Italy,3795220,55,Normal
2,0,1,1,42.3,0.2,Álvaro Borja Morata Martín,Spain,3795220,55,Normal
2,1,0,1,43.2,0.2,Jorge Luiz Frello Filho,Italy,3795220,55,Normal
0,1,0,0,37.2,0.4,Domenico Berardi,Italy,3795506,55,Normal
3,1,0,1,36.6,0.9,Harry Kane,England,3795506,55,Normal
2,0,1,1,42.1,0.5,Andrea Belotti,Italy,3795506,55,Normal
8,1,0,1,43.2,2.4,Harry Maguire,England,3795506,55,Normal
3,1,0,1,37.6,1.6,Leonardo Bonucci,Italy,3795506,55,Normal
0,0,0,1,35.8,0.2,Marcus Rashford,England,3795506,55,Normal
1,1,0,0,40.1,0.3,Federico Bernardeschi,Italy,3795506,55,Normal
2,0,1,1,42.5,0.8,Jadon Sancho,England,3795506,55,Normal
0,0,1,1,37.9,0.2,Jorge Luiz Frello Filho,Italy,3795506,55,Normal
5,0,1,0,42.0,0.9,Bukayo Saka,England,3795506,55,Normal
4,1,0,1,40.3,1.6,Artem Dzyuba,Russia,3788769,55,Normal
6,0,0,0,35.6,5.4,Gareth Frank Bale,Wales,3788755,55,Normal
0,0,0,0,36.0,0.4,Gerard Moreno Balaguero,Spain,3788762,55,Normal
